start_location,end_location,startlat,startlong,endlat,endlong,period
Hamm,Lauban,51.6804093,7.815197,51.12076,15.29186,1
Lauban,Greiffenberg,51.12076,15.29186,51.033333,15.416667,1
Greiffenberg,Hirschberg,51.033333,15.416667,50.5642825,14.6553399,2
Hirschberg,Hagenau,50.5642825,14.6553399,48.8172236,7.7885978,2
Hagenau,Lauban,48.8172236,7.7885978,51.12076,15.29186,2
Lauban,Leirvag,51.12076,15.29186,59.31853,5.35143,2
Leirvag,Vilvoorde,59.31853,5.35143,50.9287524,4.4228712,2
Vilvoorde,Wunstorf,50.9287524,4.4228712,52.4257979,9.4294425,2
Wunstorf,Munster,52.4257979,9.4294425,51.9625101,7.6251879,2
Munster,Cordingen,51.9625101,7.6251879,52.9093539,9.6221033,2
Cordingen,Gau-Bickelheim,52.9093539,9.6221033,49.8353,8.02056,3
Gau-Bickelheim,Kastel,49.8353,8.02056,49.576366,6.97714865017861,3
Kastel,Darmstadt,49.576366,6.97714865017861,49.872775,8.651177,3
Darmstadt,Bargfeld,49.872775,8.651177,52.703611,10.346944,3
