,address,location,state,country,category,year,title
0,Muehlenhof,Cordingen,Niedersachsen,Germany,village,1945,0
1,Muehlenhof,Cordingen,Niedersachsen,Germany,village,1946,0
2,Muehlenhof,Cordingen,Niedersachsen,Germany,village,1947,0
3,Muehlenhof,Cordingen,Niedersachsen,Germany,village,1948,0
4,Muehlenhof,Cordingen,Niedersachsen,Germany,village,1949,2
5,Muehlenhof,Cordingen,Niedersachsen,Germany,village,1950,0
0,Haus Nr. 63,Kastel,Rheinland-Pfalz,Germany,village,1951,2
1,Haus Nr. 63,Kastel,Rheinland-Pfalz,Germany,village,1952,0
2,Haus Nr. 63,Kastel,Rheinland-Pfalz,Germany,village,1953,2
3,Haus Nr. 63,Kastel,Rheinland-Pfalz,Germany,village,1954,0
4,Haus Nr. 63,Kastel,Rheinland-Pfalz,Germany,village,1955,2
0,Inselstrasse,Darmstadt,Hessen,Germany,city,1956,2
1,Inselstrasse,Darmstadt,Hessen,Germany,city,1957,2
2,Inselstrasse,Darmstadt,Hessen,Germany,city,1958,1
0,Haus Nr. 67,Bargfeld,Niedersachsen,Germany,village,1958,1
1,Haus Nr. 67,Bargfeld,Niedersachsen,Germany,village,1959,1
2,Haus Nr. 67,Bargfeld,Niedersachsen,Germany,village,1960,3
3,Haus Nr. 67,Bargfeld,Niedersachsen,Germany,village,1961,3
4,Haus Nr. 67,Bargfeld,Niedersachsen,Germany,village,1962,2
5,Haus Nr. 67,Bargfeld,Niedersachsen,Germany,village,1963,2
6,Haus Nr. 67,Bargfeld,Niedersachsen,Germany,village,1964,0
7,Haus Nr. 67,Bargfeld,Niedersachsen,Germany,village,1965,0
8,Haus Nr. 67,Bargfeld,Niedersachsen,Germany,village,1966,0
9,Haus Nr. 67,Bargfeld,Niedersachsen,Germany,village,1967,0
10,Haus Nr. 67,Bargfeld,Niedersachsen,Germany,village,1968,0
11,Haus Nr. 67,Bargfeld,Niedersachsen,Germany,village,1969,0
12,Haus Nr. 67,Bargfeld,Niedersachsen,Germany,village,1970,1
13,Haus Nr. 67,Bargfeld,Niedersachsen,Germany,village,1971,0
14,Haus Nr. 67,Bargfeld,Niedersachsen,Germany,village,1972,1
15,Haus Nr. 67,Bargfeld,Niedersachsen,Germany,village,1973,0
16,Haus Nr. 67,Bargfeld,Niedersachsen,Germany,village,1974,0
17,Haus Nr. 67,Bargfeld,Niedersachsen,Germany,village,1975,1
18,Haus Nr. 67,Bargfeld,Niedersachsen,Germany,village,1976,0
19,Haus Nr. 67,Bargfeld,Niedersachsen,Germany,village,1977,0
20,Haus Nr. 67,Bargfeld,Niedersachsen,Germany,village,1978,0
