id,title,year
1,Gadir oder erkenne dich,1949
2,Enthymesis,1949
3,Brand's Haide,1951
4,Schwarze Spiegel,1951
5,Aus dem Leben eines Fauns,1953
6,Seelandschaft mit Pocahontas,1955
7,Kosmas,1955
8,Das steinerne Herz,1956
9,Tina oder ueber die Unsterblichkeit,1956
10,Goethe und einer seiner Bewunderer,1957
11,Die Gelehrtenrepublik,1957
12,Nebenmond und rosa Augen,1958
13,Trommler beim Zaren,1959
14,Kaff auch Mare Crisium,1960
15,Der Sonn' entgegen,1960
16,Windmuehlen,1960
17,Schwaenze,1961
18,Kuehe in Halbtrauer,1961
19,Grosser Kain,1961
20,Kundisches Geschirr,1962
21,Piporakemes!,1962
22,Die Wasserstrasse,1963
23,Die Abenteuer der Sylvesternacht,1963
24,Zettel's Traum,1970
25,Abend mit Goldrand,1975
26,Die Umsiedler,1953
27,Die Schule der Atheisten,1972
